entryPoint,side,contracts,independentGames,meanClvCents,medianClvCents,ci95LowCents,ci95HighCents,positiveClvPct,definition,population
EARLY_18H_PLUS,YES,9099,191,-1.8413,-1.5,-2.01,-1.6997,15.77,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
EARLY_18H_PLUS,YES,4901,118,-1.5993,-1.5,-1.8052,-1.3898,17.59,closing MID (side-adjusted) minus executable entry ask,settled_player_props
EARLY_18H_PLUS,NO,9099,191,-0.7716,-0.5,-0.9218,-0.616,31.95,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
EARLY_18H_PLUS,NO,4901,118,-1.2489,-0.5,-1.4355,-1.0683,25.26,closing MID (side-adjusted) minus executable entry ask,settled_player_props
EARLY_12H_PLUS,YES,18184,366,-1.6857,-1.5,-1.7913,-1.5705,15.6,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
EARLY_12H_PLUS,YES,13622,270,-1.4801,-1.5,-1.5923,-1.3666,15.2,closing MID (side-adjusted) minus executable entry ask,settled_player_props
EARLY_12H_PLUS,NO,18184,366,-0.7617,-0.5,-0.8739,-0.6592,29.91,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
EARLY_12H_PLUS,NO,13622,270,-1.1911,-0.5,-1.3153,-1.0723,22.13,closing MID (side-adjusted) minus executable entry ask,settled_player_props
EARLY_8H_PLUS,YES,19731,390,-1.6643,-1.5,-1.7672,-1.5635,14.95,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
EARLY_8H_PLUS,YES,16969,314,-1.3727,-1.5,-1.4723,-1.2711,14.57,closing MID (side-adjusted) minus executable entry ask,settled_player_props
EARLY_8H_PLUS,NO,19731,390,-0.7616,-0.5,-0.8595,-0.6609,28.87,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
EARLY_8H_PLUS,NO,16969,314,-1.1365,-0.5,-1.2376,-1.0374,19.98,closing MID (side-adjusted) minus executable entry ask,settled_player_props
FIRST_GAME_DAY,YES,19014,359,-0.7653,-0.5,-0.8063,-0.7236,12.42,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
FIRST_GAME_DAY,YES,80543,356,-0.9941,-0.5,-1.0391,-0.9516,4.86,closing MID (side-adjusted) minus executable entry ask,settled_player_props
FIRST_GAME_DAY,NO,19014,359,-0.6051,-0.5,-0.6434,-0.5672,15.7,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
FIRST_GAME_DAY,NO,80543,356,-0.9731,-0.5,-1.0156,-0.9332,5.05,closing MID (side-adjusted) minus executable entry ask,settled_player_props
LINEUP_CONFIRMATION,YES,9456,178,-0.6984,-0.5,-0.7539,-0.6479,9.01,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
LINEUP_CONFIRMATION,YES,21584,174,-0.8136,-0.5,-0.8689,-0.7635,5.41,closing MID (side-adjusted) minus executable entry ask,settled_player_props
LINEUP_CONFIRMATION,NO,9456,178,-0.6535,-0.5,-0.6982,-0.6069,9.57,closing MID (side-adjusted) minus executable entry ask,settled_game_markets
LINEUP_CONFIRMATION,NO,21584,174,-0.8361,-0.5,-0.8965,-0.7827,4.22,closing MID (side-adjusted) minus executable entry ask,settled_player_props
