marketFamily,POST_START,T_MINUS_0_4,T_MINUS_4_8,T_MINUS_8_12,T_MINUS_12_18,T_MINUS_18_24,T_MINUS_24_PLUS,UNKNOWN_TIMING,total
first_inning_run,123,752,405,120,390,276,0,0,2066
game_result,1229,1123,579,186,641,498,0,0,4256
game_total,6151,7882,4174,1316,3727,2859,0,0,26109
hitter_hits,30451,33133,3161,1322,2789,1140,0,0,71996
hitter_hits_runs_rbis,38040,45388,4541,1912,4129,1659,0,0,95669
hitter_rbis,16694,19378,2118,950,2006,843,0,0,41989
hitter_stolen_bases,5995,7912,892,246,115,5,0,0,15165
hitter_total_bases,35679,38572,4039,1691,3750,1581,0,0,85312
inning_result,3641,7027,4055,1174,3354,2438,0,0,21689
inning_total,2673,5096,2708,883,2550,1855,0,0,15765
pitcher_outs,953,1619,933,251,615,321,0,0,4692
pitcher_strikeouts,7024,10118,5461,1669,4105,2407,0,0,30784
team_total,8123,10337,5802,1705,4688,3476,0,0,34131
winning_margin,6150,6755,3665,1157,3277,2503,0,0,23507
