slateDate,distinctEvents,distinctContracts,observations,contractsWithQuoteAt12hPlus,contractsWithQuoteAt18hPlus,contractsWithPreviousEveningQuote,contractsWithOvernightQuote
2026-08-01,252,4135,12366,0,0,0,0
2026-08-02,239,4848,14127,1038,0,0,1327
2026-08-03,130,1178,4892,762,476,0,762
2026-08-04,255,4973,13467,1172,719,0,1172
2026-08-05,255,4812,13176,1426,521,0,1617
2026-08-06,173,1932,3612,687,194,0,1058
2026-08-07,254,3594,9243,847,761,0,847
2026-08-08,254,5036,12812,1248,715,0,1248
2026-08-09,255,5095,24155,951,54,0,1091
2026-08-10,170,3429,12336,1092,1091,0,1092
2026-08-11,255,4322,12258,1417,1111,0,1417
2026-08-12,255,4950,16876,1292,196,0,1292
2026-08-13,153,2735,8988,721,316,0,904
2026-08-14,238,4563,15998,1066,407,0,1066
2026-08-15,255,5074,25957,1164,788,0,1164
2026-08-16,255,5143,30848,1305,54,0,1330
2026-08-17,180,3290,13411,1000,867,0,1000
2026-08-18,255,5156,17398,1391,1376,0,1391
2026-08-19,255,5168,24178,1246,716,0,1246
2026-08-20,153,3073,12538,815,209,0,824
2026-08-21,255,4978,13358,1245,1145,0,1245
2026-08-22,255,5058,21193,1194,785,0,1194
2026-08-23,255,5103,31790,1407,98,0,1407
2026-08-24,170,3131,11300,946,946,0,946
2026-08-25,255,4840,17934,1192,1152,0,1192
2026-08-26,255,4322,8923,1314,652,0,1314
2026-08-27,108,1010,1010,765,54,0,1010
2026-08-28,254,4964,6586,1722,0,0,1896
2026-08-29,275,4553,10354,1765,220,0,1549
2026-08-30,237,4489,7239,186,0,0,2047
2026-08-31,204,4124,9857,1826,0,0,1826
2026-09-01,253,4883,11907,2020,0,0,2020
2026-09-02,255,5227,13050,1489,300,0,1970
2026-09-03,150,3086,7917,940,281,0,1409
2026-09-04,233,2076,2076,2022,340,0,2076
