slateDate,contracts,meanEarlyMinusLateCents,population
2026-08-02,645,1.3535,settled_game_markets
2026-08-03,397,0.7985,settled_game_markets
2026-08-04,769,0.8518,settled_game_markets
2026-08-05,806,1.2345,settled_game_markets
2026-08-06,431,0.5104,settled_game_markets
2026-08-07,657,1.4353,settled_game_markets
2026-08-08,798,1.2732,settled_game_markets
2026-08-09,676,0.6642,settled_game_markets
2026-08-10,530,1.2302,settled_game_markets
2026-08-11,749,1.5167,settled_game_markets
2026-08-12,772,1.1723,settled_game_markets
2026-08-13,372,1.1801,settled_game_markets
2026-08-14,585,1.2821,settled_game_markets
2026-08-15,756,1.3585,settled_game_markets
2026-08-16,810,1.3852,settled_game_markets
2026-08-18,796,0.9196,settled_game_markets
2026-08-19,696,1.2328,settled_game_markets
2026-08-20,486,1.9856,settled_game_markets
2026-08-21,656,1.689,settled_game_markets
2026-08-22,808,1.4864,settled_game_markets
2026-08-23,796,0.4937,settled_game_markets
2026-08-24,529,0.9074,settled_game_markets
2026-08-25,628,1.9076,settled_game_markets
2026-08-26,778,1.2108,settled_game_markets
2026-08-27,270,0.0,settled_game_markets
2026-08-28,602,0.1346,settled_game_markets
2026-08-29,687,0.4498,settled_game_markets
2026-08-30,54,-1.0741,settled_game_markets
2026-08-31,645,0.4217,settled_game_markets
2026-08-02,315,0.8698,settled_player_props
2026-08-03,328,0.6006,settled_player_props
2026-08-04,352,0.5682,settled_player_props
2026-08-05,576,0.2691,settled_player_props
2026-08-06,139,0.7338,settled_player_props
2026-08-07,182,0.3736,settled_player_props
2026-08-08,428,0.8458,settled_player_props
2026-08-09,245,0.7429,settled_player_props
2026-08-10,537,0.7244,settled_player_props
2026-08-11,600,1.2867,settled_player_props
2026-08-12,465,1.428,settled_player_props
2026-08-13,340,0.6618,settled_player_props
2026-08-14,427,1.0164,settled_player_props
2026-08-15,405,1.0519,settled_player_props
2026-08-16,469,0.7079,settled_player_props
2026-08-18,574,0.2195,settled_player_props
2026-08-19,536,0.8172,settled_player_props
2026-08-20,323,1.0186,settled_player_props
2026-08-21,589,1.6282,settled_player_props
2026-08-22,366,1.8033,settled_player_props
2026-08-23,562,0.4377,settled_player_props
2026-08-24,407,0.8256,settled_player_props
2026-08-25,331,1.7734,settled_player_props
2026-08-26,461,2.0434,settled_player_props
2026-08-27,440,0.0,settled_player_props
2026-08-28,1071,0.1727,settled_player_props
2026-08-29,993,1.4975,settled_player_props
2026-08-30,128,-0.2031,settled_player_props
2026-08-31,1033,0.4685,settled_player_props
