slateDate,physicalGameKey,marketFamily,contracts,meanAbsMidRevisionCents,maxAbsMidRevisionCents
2026-08-16,26AUG161335AZATL,first_inning_run,1,2.0,2.0
2026-08-16,26AUG161335AZATL,game_result,2,0.0,0.0
2026-08-16,26AUG161335AZATL,game_total,11,2.3636,4.0
2026-08-16,26AUG161335AZATL,inning_result,9,0.5556,2.0
2026-08-16,26AUG161335AZATL,inning_total,7,2.1429,7.0
2026-08-16,26AUG161335AZATL,team_total,14,0.8571,1.5
2026-08-16,26AUG161335AZATL,winning_margin,10,0.4,1.0
2026-08-16,26AUG161335BOSPIT,first_inning_run,1,3.0,3.0
2026-08-16,26AUG161335BOSPIT,game_result,2,1.0,1.0
2026-08-16,26AUG161335BOSPIT,game_total,11,0.3636,0.5
2026-08-16,26AUG161335BOSPIT,inning_result,9,1.0556,2.0
2026-08-16,26AUG161335BOSPIT,inning_total,7,1.8571,3.5
2026-08-16,26AUG161335BOSPIT,team_total,14,0.8929,1.5
2026-08-16,26AUG161335BOSPIT,winning_margin,10,1.1,2.0
2026-08-16,26AUG161337NYYTOR,first_inning_run,1,3.0,3.0
2026-08-16,26AUG161337NYYTOR,game_result,2,1.0,1.0
2026-08-16,26AUG161337NYYTOR,game_total,11,5.5909,8.0
2026-08-16,26AUG161337NYYTOR,inning_result,9,1.2222,3.0
2026-08-16,26AUG161337NYYTOR,inning_total,7,4.2143,6.0
2026-08-16,26AUG161337NYYTOR,team_total,14,5.0714,6.5
2026-08-16,26AUG161337NYYTOR,winning_margin,10,1.05,3.0
2026-08-16,26AUG161340CWSDET,first_inning_run,1,3.0,3.0
2026-08-16,26AUG161340CWSDET,game_result,2,1.0,1.0
2026-08-16,26AUG161340CWSDET,game_total,11,0.6818,3.0
2026-08-16,26AUG161340CWSDET,inning_result,9,1.0556,2.0
2026-08-16,26AUG161340CWSDET,inning_total,7,2.0714,4.0
2026-08-16,26AUG161340CWSDET,team_total,14,0.75,2.0
2026-08-16,26AUG161340CWSDET,winning_margin,10,0.95,2.0
2026-08-16,26AUG161340MIACIN,first_inning_run,1,1.0,1.0
2026-08-16,26AUG161340MIACIN,game_result,2,0.75,1.0
2026-08-16,26AUG161340MIACIN,game_total,11,5.2727,8.0
2026-08-16,26AUG161340MIACIN,inning_result,9,0.5,1.0
2026-08-16,26AUG161340MIACIN,inning_total,7,2.6429,4.0
2026-08-16,26AUG161340MIACIN,team_total,14,3.7143,6.0
2026-08-16,26AUG161340MIACIN,winning_margin,10,0.75,2.0
2026-08-16,26AUG161340SDCLE,first_inning_run,1,3.0,3.0
2026-08-16,26AUG161340SDCLE,game_result,2,0.0,0.0
2026-08-16,26AUG161340SDCLE,game_total,11,0.4545,1.0
2026-08-16,26AUG161340SDCLE,inning_result,9,0.3889,1.0
2026-08-16,26AUG161340SDCLE,inning_total,7,0.2143,0.5
2026-08-16,26AUG161340SDCLE,team_total,14,1.1071,2.5
2026-08-16,26AUG161340SDCLE,winning_margin,10,0.35,1.0
2026-08-16,26AUG161340WSHNYM,first_inning_run,1,1.0,1.0
2026-08-16,26AUG161340WSHNYM,game_result,2,0.5,1.0
2026-08-16,26AUG161340WSHNYM,game_total,11,0.9091,2.0
2026-08-16,26AUG161340WSHNYM,inning_result,9,0.7222,1.5
2026-08-16,26AUG161340WSHNYM,inning_total,7,0.8571,1.5
2026-08-16,26AUG161340WSHNYM,team_total,14,0.9643,1.5
2026-08-16,26AUG161340WSHNYM,winning_margin,10,0.1,1.0
2026-08-16,26AUG161410PHIMIN,first_inning_run,1,0.0,0.0
2026-08-16,26AUG161410PHIMIN,game_result,2,1.0,1.0
2026-08-16,26AUG161410PHIMIN,game_total,11,0.6364,2.0
2026-08-16,26AUG161410PHIMIN,inning_result,9,0.8333,2.0
2026-08-16,26AUG161410PHIMIN,inning_total,7,0.7857,2.0
2026-08-16,26AUG161410PHIMIN,team_total,14,0.5,1.0
2026-08-16,26AUG161410PHIMIN,winning_margin,10,0.55,1.5
2026-08-16,26AUG161515STLCHC,first_inning_run,1,0.0,0.0
2026-08-16,26AUG161515STLCHC,game_result,2,3.0,3.0
2026-08-16,26AUG161515STLCHC,game_total,11,1.0,2.0
2026-08-16,26AUG161515STLCHC,inning_result,9,1.5,3.5
2026-08-16,26AUG161515STLCHC,inning_total,7,0.4286,1.0
2026-08-16,26AUG161515STLCHC,team_total,14,1.6429,3.0
2026-08-16,26AUG161515STLCHC,winning_margin,10,1.9,4.0
2026-08-16,26AUG161605COLSF,first_inning_run,1,1.0,1.0
2026-08-16,26AUG161605COLSF,game_result,2,1.0,1.0
2026-08-16,26AUG161605COLSF,game_total,11,0.7273,2.0
2026-08-16,26AUG161605COLSF,inning_result,9,0.6111,1.5
2026-08-16,26AUG161605COLSF,inning_total,7,1.1429,3.0
2026-08-16,26AUG161605COLSF,team_total,14,1.2143,3.0
2026-08-16,26AUG161605COLSF,winning_margin,10,0.45,1.0
2026-08-16,26AUG161605TEXATH,first_inning_run,1,1.0,1.0
2026-08-16,26AUG161605TEXATH,game_result,2,0.75,1.0
2026-08-16,26AUG161605TEXATH,game_total,11,3.9545,5.0
2026-08-16,26AUG161605TEXATH,inning_result,9,1.2778,2.5
2026-08-16,26AUG161605TEXATH,inning_total,7,3.0,5.5
2026-08-16,26AUG161605TEXATH,team_total,14,2.8929,5.0
2026-08-16,26AUG161605TEXATH,winning_margin,10,1.0,3.0
2026-08-16,26AUG161607KCLAA,first_inning_run,1,0.0,0.0
2026-08-16,26AUG161607KCLAA,game_result,2,2.0,2.0
2026-08-16,26AUG161607KCLAA,game_total,11,4.3636,6.0
2026-08-16,26AUG161607KCLAA,inning_result,9,0.7778,2.0
2026-08-16,26AUG161607KCLAA,inning_total,7,2.5,4.5
2026-08-16,26AUG161607KCLAA,team_total,14,3.3214,5.0
2026-08-16,26AUG161607KCLAA,winning_margin,10,1.15,2.5
2026-08-16,26AUG161610MILLAD,first_inning_run,1,5.0,5.0
2026-08-16,26AUG161610MILLAD,game_result,2,1.5,2.0
2026-08-16,26AUG161610MILLAD,game_total,11,2.9091,5.0
2026-08-16,26AUG161610MILLAD,inning_result,9,0.5,1.0
2026-08-16,26AUG161610MILLAD,inning_total,7,3.2143,4.5
2026-08-16,26AUG161610MILLAD,team_total,14,2.3571,4.0
2026-08-16,26AUG161610MILLAD,winning_margin,10,0.45,1.0
2026-08-16,26AUG161920SEAHOU,first_inning_run,1,0.0,0.0
2026-08-16,26AUG161920SEAHOU,game_result,2,2.0,2.0
2026-08-16,26AUG161920SEAHOU,game_total,11,0.5909,1.0
2026-08-16,26AUG161920SEAHOU,inning_result,9,2.1111,4.5
2026-08-16,26AUG161920SEAHOU,inning_total,7,3.8571,5.5
2026-08-16,26AUG161920SEAHOU,team_total,14,1.2857,5.0
2026-08-16,26AUG161920SEAHOU,winning_margin,10,1.35,3.0
2026-08-18,26AUG181835NYYBAL,first_inning_run,1,2.0,2.0
2026-08-18,26AUG181835NYYBAL,game_result,2,1.0,1.0
2026-08-18,26AUG181835NYYBAL,game_total,11,1.1818,2.0
2026-08-18,26AUG181835NYYBAL,inning_result,9,0.2778,1.0
2026-08-18,26AUG181835NYYBAL,inning_total,7,0.7143,1.5
2026-08-18,26AUG181835NYYBAL,team_total,14,1.3929,3.0
2026-08-18,26AUG181835NYYBAL,winning_margin,10,0.35,1.0
2026-08-18,26AUG181840DETPIT,first_inning_run,1,1.0,1.0
2026-08-18,26AUG181840DETPIT,game_result,2,3.0,3.0
2026-08-18,26AUG181840DETPIT,game_total,11,0.5909,2.0
2026-08-18,26AUG181840DETPIT,inning_result,9,2.6667,4.0
2026-08-18,26AUG181840DETPIT,inning_total,7,1.2143,4.0
2026-08-18,26AUG181840DETPIT,team_total,14,0.6429,1.5
2026-08-18,26AUG181840DETPIT,winning_margin,10,1.45,3.0
2026-08-18,26AUG181840MIAPHI,first_inning_run,1,0.0,0.0
2026-08-18,26AUG181840MIAPHI,game_result,2,2.0,2.0
2026-08-18,26AUG181840MIAPHI,game_total,11,0.3182,1.0
2026-08-18,26AUG181840MIAPHI,inning_result,9,1.5556,3.0
2026-08-18,26AUG181840MIAPHI,inning_total,7,1.6429,3.5
2026-08-18,26AUG181840MIAPHI,team_total,14,1.1786,2.5
2026-08-18,26AUG181840MIAPHI,winning_margin,10,1.35,2.0
2026-08-18,26AUG181840SFCLE,first_inning_run,1,1.0,1.0
2026-08-18,26AUG181840SFCLE,game_result,2,1.5,2.0
2026-08-18,26AUG181840SFCLE,game_total,11,0.5,1.0
2026-08-18,26AUG181840SFCLE,inning_result,9,0.5556,2.0
2026-08-18,26AUG181840SFCLE,inning_total,7,0.6429,2.0
2026-08-18,26AUG181840SFCLE,team_total,14,0.6786,2.5
2026-08-18,26AUG181840SFCLE,winning_margin,10,0.8,3.0
2026-08-18,26AUG181840STLCIN,first_inning_run,1,1.0,1.0
2026-08-18,26AUG181840STLCIN,game_result,2,0.0,0.0
2026-08-18,26AUG181840STLCIN,game_total,11,0.9091,2.0
2026-08-18,26AUG181840STLCIN,inning_result,9,1.0556,2.5
2026-08-18,26AUG181840STLCIN,inning_total,7,2.5,5.0
2026-08-18,26AUG181840STLCIN,team_total,14,0.7143,1.5
2026-08-18,26AUG181840STLCIN,winning_margin,10,0.8,1.5
2026-08-18,26AUG181840TORTB,first_inning_run,1,3.0,3.0
2026-08-18,26AUG181840TORTB,game_result,2,2.0,2.0
2026-08-18,26AUG181840TORTB,game_total,11,0.5,1.0
2026-08-18,26AUG181840TORTB,inning_result,9,1.8889,4.0
2026-08-18,26AUG181840TORTB,inning_total,7,1.2857,3.0
2026-08-18,26AUG181840TORTB,team_total,14,0.8571,2.0
2026-08-18,26AUG181840TORTB,winning_margin,10,1.5,2.0
2026-08-18,26AUG181910AZBOS,first_inning_run,1,5.0,5.0
2026-08-18,26AUG181910AZBOS,game_result,2,0.5,1.0
2026-08-18,26AUG181910AZBOS,game_total,11,4.0909,6.0
2026-08-18,26AUG181910AZBOS,inning_result,9,0.8333,2.0
2026-08-18,26AUG181910AZBOS,inning_total,7,3.7143,5.0
2026-08-18,26AUG181910AZBOS,team_total,14,3.2857,5.0
2026-08-18,26AUG181910AZBOS,winning_margin,10,0.7,2.5
2026-08-18,26AUG181910SDNYM,first_inning_run,1,2.0,2.0
2026-08-18,26AUG181910SDNYM,game_result,2,0.5,1.0
2026-08-18,26AUG181910SDNYM,game_total,11,0.4091,1.5
2026-08-18,26AUG181910SDNYM,inning_result,9,1.0,2.5
2026-08-18,26AUG181910SDNYM,inning_total,7,1.7857,4.0
2026-08-18,26AUG181910SDNYM,team_total,14,0.8571,2.0
2026-08-18,26AUG181910SDNYM,winning_margin,10,0.75,2.0
2026-08-18,26AUG181940ATHKC,first_inning_run,1,2.0,2.0
2026-08-18,26AUG181940ATHKC,game_result,2,6.0,6.0
2026-08-18,26AUG181940ATHKC,game_total,11,5.4091,7.0
2026-08-18,26AUG181940ATHKC,inning_result,4,2.5,4.0
2026-08-18,26AUG181940ATHKC,inning_total,5,5.9,10.5
2026-08-18,26AUG181940ATHKC,team_total,14,4.4286,8.0
2026-08-18,26AUG181940ATHKC,winning_margin,10,2.7,4.0
2026-08-18,26AUG181940ATLMIN,first_inning_run,1,1.0,1.0
2026-08-18,26AUG181940ATLMIN,game_result,2,3.0,3.0
2026-08-18,26AUG181940ATLMIN,game_total,11,1.1364,2.0
2026-08-18,26AUG181940ATLMIN,inning_result,9,0.6667,1.5
2026-08-18,26AUG181940ATLMIN,inning_total,7,1.6429,5.0
2026-08-18,26AUG181940ATLMIN,team_total,14,0.6429,3.5
2026-08-18,26AUG181940ATLMIN,winning_margin,10,0.95,3.0
2026-08-18,26AUG181940SEAMIL,first_inning_run,1,1.0,1.0
2026-08-18,26AUG181940SEAMIL,game_result,2,3.0,3.0
2026-08-18,26AUG181940SEAMIL,game_total,11,0.6364,1.5
2026-08-18,26AUG181940SEAMIL,inning_result,9,1.3889,2.5
2026-08-18,26AUG181940SEAMIL,inning_total,7,1.4286,3.5
2026-08-18,26AUG181940SEAMIL,team_total,14,1.5714,4.5
2026-08-18,26AUG181940SEAMIL,winning_margin,10,1.55,4.0
2026-08-18,26AUG182005CWSCHC,first_inning_run,1,0.0,0.0
2026-08-18,26AUG182005CWSCHC,game_result,2,2.0,2.0
2026-08-18,26AUG182005CWSCHC,game_total,11,4.7727,8.0
2026-08-18,26AUG182005CWSCHC,inning_result,5,3.8,8.0
2026-08-18,26AUG182005CWSCHC,inning_total,5,4.5,8.0
2026-08-18,26AUG182005CWSCHC,team_total,13,2.8462,5.0
2026-08-18,26AUG182005CWSCHC,winning_margin,10,1.6,3.0
