marketFamily,researchPoint,contracts,medianSpreadCents,meanSpreadCents,medianVolume,medianOpenInterest,zeroVolumePct,repeatedBookFlaggedPct
first_inning_run,CLOSING,472,1.0,1.0403,58521.255000000005,51406.005,0.0,0.0
first_inning_run,EARLY_12H_PLUS,424,1.0,1.2241,3829.305,3385.085,0.0,0.0
first_inning_run,EARLY_18H_PLUS,207,1.0,1.2415,2887.88,2592.91,0.0,0.0
first_inning_run,EARLY_8H_PLUS,459,1.0,1.2157,3995.59,3689.83,0.0,0.0
first_inning_run,FIRST_GAME_DAY,403,1.0,1.0769,36210.3,31274.58,0.0,0.0
first_inning_run,LINEUP_CONFIRMATION,222,1.0,1.0586,28508.489999999998,25195.33,0.0,0.0
first_inning_run,T_MINUS_30,125,1.0,1.016,95845.09,82491.47,0.0,0.0
first_inning_run,T_MINUS_90,195,1.0,1.0,59149.95,52575.78,0.0,0.0
game_result,CLOSING,944,1.0,1.0095,93731.3,87813.57,0.0,0.0
game_result,EARLY_12H_PLUS,848,1.0,1.0566,7436.205,6581.715,0.0,0.0
game_result,EARLY_18H_PLUS,414,1.0,1.0362,5940.85,5238.3099999999995,0.0,0.0
game_result,EARLY_8H_PLUS,918,1.0,1.0556,8067.645,7083.02,0.0,0.0
game_result,FIRST_GAME_DAY,771,1.0,1.0208,65347.02,60779.76,0.0,0.0
game_result,LINEUP_CONFIRMATION,444,1.0,1.0113,47442.825,43191.695,0.0,0.0
game_result,T_MINUS_30,216,1.0,1.0,202887.53,178903.49,0.0,0.0
game_result,T_MINUS_90,334,1.0,1.003,128534.10500000001,120663.185,0.0,0.0
game_total,CLOSING,5178,1.0,1.0817,2572.7200000000003,2414.835,3.21,0.42
game_total,EARLY_12H_PLUS,4389,1.0,1.566,27,26,33.42,0.0
game_total,EARLY_18H_PLUS,2101,1.0,1.674,12.78,12.39,38.27,0.0
game_total,EARLY_8H_PLUS,4822,1.0,1.5479,31.0,30.0,31.69,0.0
game_total,FIRST_GAME_DAY,4505,1.0,1.1077,1141.22,1091.23,3.64,0.0
game_total,LINEUP_CONFIRMATION,2408,1.0,1.076,1097.2849999999999,1069.5,4.61,0.0
game_total,T_MINUS_30,1395,1.0,1.0423,4197.36,3868.6,0.14,0.79
game_total,T_MINUS_90,2236,1.0,1.0376,3234.015,3102.555,0.4,0.18
hitter_hits,CLOSING,20529,1.0,1.3475,0,0,50.07,1.83
hitter_hits,EARLY_12H_PLUS,2884,2.0,2.2729,0.0,0.0,72.71,0.0
hitter_hits,EARLY_18H_PLUS,861,2.0,2.3415,0,0,79.67,0.0
hitter_hits,EARLY_8H_PLUS,3574,2.0,2.1835,0.0,0.0,69.22,0.0
hitter_hits,FIRST_GAME_DAY,19442,1.0,1.6002,0.0,0.0,64.19,0.0
hitter_hits,LINEUP_CONFIRMATION,5813,1.0,1.4366,0,0,51.32,0.0
hitter_hits,T_MINUS_30,5941,1.0,1.1877,2,2,45.46,2.59
hitter_hits,T_MINUS_90,10476,1.0,1.4372,0.0,0.0,61.14,0.24
hitter_hits_runs_rbis,CLOSING,30697,1.0,1.7621,0,0,61.15,1.65
hitter_hits_runs_rbis,EARLY_12H_PLUS,4489,2.0,2.6788,0,0,80.31,0.0
hitter_hits_runs_rbis,EARLY_18H_PLUS,1277,2.0,2.8246,0,0,85.51,0.0
hitter_hits_runs_rbis,EARLY_8H_PLUS,5636,2.0,2.5484,0.0,0.0,77.47,0.0
hitter_hits_runs_rbis,FIRST_GAME_DAY,29129,1.0,2.1482,0,0,72.83,0.0
hitter_hits_runs_rbis,LINEUP_CONFIRMATION,8475,1.0,1.8414,0,0,61.98,0.0
hitter_hits_runs_rbis,T_MINUS_30,8993,1.0,1.4649,0,0,57.47,2.42
hitter_hits_runs_rbis,T_MINUS_90,14518,1.0,1.991,0.0,0.0,70.04,0.32
hitter_rbis,CLOSING,13324,1.0,1.8157,0.0,0.0,70.29,1.76
hitter_rbis,EARLY_12H_PLUS,2059,3.0,3.408,0,0,79.75,0.0
hitter_rbis,EARLY_18H_PLUS,602,3.0,3.8721,0.0,0.0,89.04,0.0
hitter_rbis,EARLY_8H_PLUS,2593,3.0,3.2079,0,0,76.36,0.0
hitter_rbis,FIRST_GAME_DAY,12623,2.0,2.2024,0,0,78.62,0.0
hitter_rbis,LINEUP_CONFIRMATION,3492,2.0,2.0086,0.0,0.0,64.0,0.0
hitter_rbis,T_MINUS_30,3963,1.0,1.5516,0,0,71.54,3.15
hitter_rbis,T_MINUS_90,6239,2.0,1.9317,0,0,80.19,0.45
hitter_stolen_bases,CLOSING,4145,2.0,1.9373,0,0,58.48,0.84
hitter_stolen_bases,EARLY_12H_PLUS,46,5.0,4.587,0.0,0.0,86.96,0.0
hitter_stolen_bases,EARLY_8H_PLUS,221,2.0,3.0136,0,0,67.87,0.0
hitter_stolen_bases,FIRST_GAME_DAY,4093,2.0,2.4967,0,0,70.93,0.0
hitter_stolen_bases,LINEUP_CONFIRMATION,981,2.0,2.3955,0,0,57.7,0.0
hitter_stolen_bases,T_MINUS_30,1241,1.0,1.6769,0,0,53.02,1.45
hitter_stolen_bases,T_MINUS_90,2110,2.0,2.1754,0.0,0.0,68.48,0.0
hitter_total_bases,CLOSING,25832,1.0,1.6873,0.0,0.0,62.02,1.7
hitter_total_bases,EARLY_12H_PLUS,4153,2.0,2.3869,0,0,80.28,0.0
hitter_total_bases,EARLY_18H_PLUS,1220,2.0,2.5959,0.0,0.0,87.95,0.0
hitter_total_bases,EARLY_8H_PLUS,5127,2.0,2.2731,0,0,78.43,0.0
hitter_total_bases,FIRST_GAME_DAY,24321,1.0,2.0586,0,0,73.8,0.0
hitter_total_bases,LINEUP_CONFIRMATION,7740,1.0,1.7438,0.0,0.0,60.78,0.0
hitter_total_bases,T_MINUS_30,7276,1.0,1.3905,0.0,0.0,59.66,2.54
hitter_total_bases,T_MINUS_90,12790,1.0,1.8879,0.0,0.0,70.38,0.35
inning_result,CLOSING,4207,1.0,1.7167,206.58,199.83,15.76,1.55
inning_result,EARLY_12H_PLUS,3351,3.0,3.43,0,0,59.44,0.0
inning_result,EARLY_18H_PLUS,1512,3.0,3.6746,0.0,0.0,62.83,0.0
inning_result,EARLY_8H_PLUS,3740,3.0,3.4059,0.0,0.0,57.94,0.0
inning_result,FIRST_GAME_DAY,3693,1.0,1.8454,68.57,67.62,21.26,0.11
inning_result,LINEUP_CONFIRMATION,1970,1.0,1.9452,74.5,73.88499999999999,21.98,0.0
inning_result,T_MINUS_30,1145,1.0,1.4777,516.48,498.42,10.31,2.45
inning_result,T_MINUS_90,1880,1.0,1.6027,227.22,219.19,13.78,0.85
inning_total,CLOSING,3288,1.0,1.2743,340.91499999999996,331.02,10.16,1.46
