population,side,policyA,policyB,contracts,independentGames,meanRoiDifferenceAMinusB,ci95Low,ci95High,interpretation
balanced_game_markets,YES,A_NIGHT_BEFORE,B_FIRST_GAME_DAY,1546,36,-0.031652,-0.045698,-0.017711,"positive = entering the night before beat waiting, on identical contracts"
balanced_game_markets,YES,A_NIGHT_BEFORE,C_T_MINUS_90,1546,36,-0.032764,-0.050019,-0.016024,"positive = entering the night before beat waiting, on identical contracts"
balanced_game_markets,YES,A_NIGHT_BEFORE,D_LINEUP_CONFIRMED,1546,36,-0.03237,-0.047736,-0.017626,"positive = entering the night before beat waiting, on identical contracts"
balanced_game_markets,YES,A_NIGHT_BEFORE,E_T_MINUS_30,1546,36,-0.032858,-0.05018,-0.016106,"positive = entering the night before beat waiting, on identical contracts"
balanced_game_markets,NO,A_NIGHT_BEFORE,B_FIRST_GAME_DAY,1546,36,-0.011499,-0.028501,0.004463,"positive = entering the night before beat waiting, on identical contracts"
balanced_game_markets,NO,A_NIGHT_BEFORE,C_T_MINUS_90,1546,36,-0.008449,-0.02709,0.009711,"positive = entering the night before beat waiting, on identical contracts"
balanced_game_markets,NO,A_NIGHT_BEFORE,D_LINEUP_CONFIRMED,1546,36,-0.010827,-0.028261,0.005805,"positive = entering the night before beat waiting, on identical contracts"
balanced_game_markets,NO,A_NIGHT_BEFORE,E_T_MINUS_30,1546,36,-0.00433,-0.021695,0.013133,"positive = entering the night before beat waiting, on identical contracts"
balanced_player_props,YES,A_NIGHT_BEFORE,B_FIRST_GAME_DAY,768,24,-0.051808,-0.097271,-0.00885,"positive = entering the night before beat waiting, on identical contracts"
balanced_player_props,YES,A_NIGHT_BEFORE,C_T_MINUS_90,768,24,-0.044676,-0.080329,-0.010619,"positive = entering the night before beat waiting, on identical contracts"
balanced_player_props,YES,A_NIGHT_BEFORE,D_LINEUP_CONFIRMED,768,24,-0.0552,-0.098587,-0.013148,"positive = entering the night before beat waiting, on identical contracts"
balanced_player_props,YES,A_NIGHT_BEFORE,E_T_MINUS_30,768,24,-0.035204,-0.067586,-0.005358,"positive = entering the night before beat waiting, on identical contracts"
balanced_player_props,NO,A_NIGHT_BEFORE,B_FIRST_GAME_DAY,768,24,-0.004819,-0.011855,0.002434,"positive = entering the night before beat waiting, on identical contracts"
balanced_player_props,NO,A_NIGHT_BEFORE,C_T_MINUS_90,768,24,-0.005359,-0.012984,0.00284,"positive = entering the night before beat waiting, on identical contracts"
balanced_player_props,NO,A_NIGHT_BEFORE,D_LINEUP_CONFIRMED,768,24,-0.004966,-0.012646,0.00319,"positive = entering the night before beat waiting, on identical contracts"
balanced_player_props,NO,A_NIGHT_BEFORE,E_T_MINUS_30,768,24,-0.006599,-0.014801,0.001828,"positive = entering the night before beat waiting, on identical contracts"
