earlyPoint,latePoint,side,contracts,independentGames,meanEarlyMinusLateCents,medianEarlyMinusLateCents,ci95LowCents,ci95HighCents,earlyCheaperCount,lateCheaperCount,tiedCount,earlyCheaperPct,signTestP,signConvention,population
EARLY_18H_PLUS,FIRST_GAME_DAY,YES,8934,1714,1.081,1.0,1.0006,1.1633,1438,5399,2097,16.1,0.0,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_18H_PLUS,FIRST_GAME_DAY,NO,8934,1714,0.1919,0.0,0.1145,0.2742,2914,3584,2436,32.62,1.0481422316399448e-16,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,FIRST_GAME_DAY,YES,16961,3229,1.0092,1.0,0.948,1.0726,2870,10089,4002,16.92,0.0,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,FIRST_GAME_DAY,NO,16961,3229,0.1749,0.0,0.119,0.2335,5524,6772,4665,32.57,2.4330044920340905e-29,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,T_MINUS_90,YES,8581,2046,1.2401,1.0,1.1434,1.3441,1460,5433,1688,17.01,0.0,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,T_MINUS_90,NO,8581,2046,0.1791,0.0,0.0817,0.2697,2907,3469,2205,33.88,2.1301774132564238e-12,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,5040,680,0.9829,1.0,0.831,1.1302,792,2673,1575,15.71,7.957130066277478e-224,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,LINEUP_CONFIRMATION,NO,5040,680,0.0399,0.0,-0.0942,0.1782,1506,1709,1825,29.88,0.0003672709342044498,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,T_MINUS_30,YES,5133,1133,1.1391,1.0,1.0201,1.2643,914,3149,1070,17.81,4.223962559887755e-269,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,T_MINUS_30,NO,5133,1133,0.2482,0.0,0.1286,0.3631,1693,2176,1264,32.98,9.25928350345007e-15,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,CLOSING,YES,18184,3430,1.0988,1.0,1.0322,1.1657,3049,10503,4632,16.77,0.0,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_12H_PLUS,CLOSING,NO,18184,3430,0.1748,0.0,0.1096,0.2405,5793,7111,5280,31.86,4.4333642666330715e-31,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_18H_PLUS,CLOSING,YES,9099,1734,1.2733,1.0,1.175,1.3657,1532,5657,1910,16.84,0.0,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_18H_PLUS,CLOSING,NO,9099,1734,0.2036,0.0,0.1105,0.3019,3063,3728,2308,33.66,7.785996083552721e-16,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_8H_PLUS,CLOSING,YES,19731,3707,1.0617,1.0,0.9982,1.1261,3176,10989,5566,16.1,0.0,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_8H_PLUS,CLOSING,NO,19731,3707,0.159,0.0,0.0985,0.2172,6075,7421,6235,30.79,5.350347540960781e-31,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
FIRST_GAME_DAY,CLOSING,YES,19014,3552,0.1823,0.0,0.1567,0.209,2723,4968,11323,14.32,2.090359641304974e-144,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
FIRST_GAME_DAY,CLOSING,NO,19014,3552,0.0221,0.0,-0.0014,0.0445,3456,3868,11690,18.18,1.5669439105451549e-06,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
LINEUP_CONFIRMATION,CLOSING,YES,5569,744,0.0567,0.0,0.0126,0.1042,587,733,4249,10.54,6.579704265068804e-05,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
LINEUP_CONFIRMATION,CLOSING,NO,5569,744,-0.0129,0.0,-0.0551,0.0277,616,644,4309,11.06,0.44687282071083095,positive = early price HIGHER = waiting was cheaper,unbalanced_settled_nonprop
EARLY_18H_PLUS,FIRST_GAME_DAY,YES,279,52,1.1004,1.0,0.5382,1.589,56,158,65,20.07,1.907302685887088e-12,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_18H_PLUS,FIRST_GAME_DAY,NO,279,52,0.4014,0.0,-0.0376,0.8926,81,120,78,29.03,0.007203828622098725,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_12H_PLUS,FIRST_GAME_DAY,YES,933,138,1.1983,1.0,0.8878,1.4974,140,575,218,15.01,2.0984771837841725e-63,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_12H_PLUS,FIRST_GAME_DAY,NO,933,138,0.0439,0.0,-0.2398,0.3352,312,356,265,33.44,0.09609502461602959,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
EARLY_12H_PLUS,T_MINUS_90,YES,933,138,1.4716,1.0,1.0794,1.8381,144,611,178,15.43,3.0306012740064184e-69,positive = early price HIGHER = waiting was cheaper,balanced_all_policy_points
