earlyPoint,latePoint,side,contracts,independentGames,meanEarlyMinusLateCents,medianEarlyMinusLateCents,ci95LowCents,ci95HighCents,earlyCheaperCount,lateCheaperCount,tiedCount,earlyCheaperPct,signTestP,signConvention,researchSubFamily,seriesTickers,population,bhSignificantAtFdr05
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,412,141,1.8374,1.0,1.5061,2.1864,32,263,117,7.77,2.5672501270690436e-46,positive = early price HIGHER = waiting was cheaper,f3_result,KXMLBF3,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,451,154,0.4834,0.0,0.3685,0.6084,90,201,160,19.96,6.691123010569305e-11,positive = early price HIGHER = waiting was cheaper,f5_moneyline,KXMLBF5,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,616,155,1.1851,1.0,1.0049,1.3636,62,370,184,10.06,1.7337076669006783e-54,positive = early price HIGHER = waiting was cheaper,f5_spread,KXMLBF5SPREAD,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1057,154,1.0927,1.0,0.8336,1.3718,154,560,343,14.57,5.510184174872047e-55,positive = early price HIGHER = waiting was cheaper,f5_total,KXMLBF5TOTAL,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,411,141,1.1363,1.0,0.9638,1.3058,44,253,114,10.71,7.900432236213249e-37,positive = early price HIGHER = waiting was cheaper,f7_result,KXMLBF7,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,166,166,-0.0181,0.0,-0.2771,0.247,53,52,61,31.93,1.0,positive = early price HIGHER = waiting was cheaper,first_inning_run_nrfi_yrfi,KXMLBRFI,settled_all_families_split_by_sub_family,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,332,166,0.0,0.0,-0.0422,0.0392,107,108,117,32.23,1.0,positive = early price HIGHER = waiting was cheaper,full_game_moneyline,KXMLBGAME,settled_all_families_split_by_sub_family,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,954,159,0.2589,0.0,0.1614,0.37,186,358,410,19.5,1.4351733027168598e-13,positive = early price HIGHER = waiting was cheaper,full_game_run_line,KXMLBSPREAD,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1740,159,0.7397,0.0,0.466,1.023,357,810,573,20.52,5.786605298311754e-40,positive = early price HIGHER = waiting was cheaper,full_game_total,KXMLBTOTAL,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1124,106,0.7544,0.0,0.5849,0.9372,77,515,532,6.85,1.6697231798844374e-80,positive = early price HIGHER = waiting was cheaper,hitter_hits,KXMLBHIT,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1796,108,0.9399,1.0,0.7202,1.1833,168,920,708,9.35,9.512255459656378e-115,positive = early price HIGHER = waiting was cheaper,hitter_hits_runs_rbis,KXMLBHRR,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,818,108,0.7323,1.0,0.5158,0.9379,103,412,303,12.59,9.07843751547382e-45,positive = early price HIGHER = waiting was cheaper,hitter_rbis,KXMLBRBI,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,20,8,0.55,0.0,0.0588,1.087,2,7,11,10.0,0.1796875,positive = early price HIGHER = waiting was cheaper,hitter_stolen_bases,KXMLBSB,settled_all_families_split_by_sub_family,False
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1602,108,0.7266,0.0,0.5457,0.9245,161,740,701,10.05,1.2579200934509154e-82,positive = early price HIGHER = waiting was cheaper,hitter_total_bases,KXMLBTB,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,212,117,1.9717,1.0,1.4419,2.5213,40,127,45,18.87,9.451719537104614e-12,positive = early price HIGHER = waiting was cheaper,pitcher_outs,KXMLBOUTS,settled_all_families_split_by_sub_family,True
EARLY_12H_PLUS,LINEUP_CONFIRMATION,YES,1596,120,0.9893,1.0,0.6817,1.3102,347,828,421,21.74,1.4934498396587015e-44,positive = early price HIGHER = waiting was cheaper,pitcher_strikeouts,KXMLBKS,settled_all_families_split_by_sub_family,True
