entryPoint,side,contracts,independentGames,winRatePct,meanRoi,ci95LowRoi,ci95HighRoi,capitalWeightedRoi,meanEntryCents,feeAdjusted,marketFamily,policy
EARLY_12H_PLUS,YES,28,28,53.57,0.08381,-0.285003,0.468679,0.087745,49.25,False,first_inning_run,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,54,28,50.0,-0.00016,-0.078291,0.085767,-0.007718,50.3889,False,game_result,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,327,35,48.01,-0.119022,-0.416833,0.226703,-0.163514,57.3976,False,game_total,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,242,36,33.47,-0.11464,-0.216771,0.006319,-0.055173,35.4256,False,inning_result,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,197,34,55.33,-0.09968,-0.360192,0.174884,-0.126253,63.3249,False,inning_total,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,414,36,44.93,-0.102371,-0.338929,0.13635,-0.074903,48.5652,False,team_total,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,284,36,30.63,0.158716,-0.160505,0.478485,0.143233,26.7958,False,winning_margin,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,28,28,46.43,-0.108156,-0.463845,0.244036,-0.105299,51.8929,False,first_inning_run,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,54,28,50.0,-0.006513,-0.083897,0.067883,-0.012797,50.6481,False,game_result,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,327,35,51.99,0.42134,-0.091219,0.996591,0.171444,44.3792,False,game_total,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,242,36,66.53,-0.04872,-0.095463,-0.000432,-0.034425,68.9008,False,inning_result,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,197,34,44.67,0.37379,-0.180622,1.007499,0.119878,39.8883,False,inning_total,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,414,36,55.07,-0.024672,-0.207473,0.169139,0.002154,54.9541,False,team_total,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,284,36,69.37,-0.08079,-0.172727,0.01697,-0.078061,75.2394,False,winning_margin,A_NIGHT_BEFORE
LINEUP_CONFIRMATION,YES,28,28,53.57,0.072801,-0.292488,0.455165,0.072961,49.9286,False,first_inning_run,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,54,28,50.0,-0.003805,-0.084455,0.082862,-0.008447,50.4259,False,game_result,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,327,35,48.01,-0.096093,-0.403523,0.265893,-0.147666,56.3303,False,game_total,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,242,36,33.47,-0.09071,-0.202793,0.043754,-0.02233,34.2355,False,inning_result,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,197,34,55.33,-0.083909,-0.348903,0.19683,-0.10853,62.066,False,inning_total,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,414,36,44.93,-0.050572,-0.31048,0.213579,-0.03542,46.5773,False,team_total,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,284,36,30.63,0.203466,-0.130224,0.540655,0.180622,25.9472,False,winning_margin,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,NO,28,28,46.43,-0.090632,-0.453944,0.266808,-0.090909,51.0714,False,first_inning_run,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,NO,54,28,50.0,-0.007616,-0.091648,0.070815,-0.011351,50.5741,False,game_result,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,NO,327,35,51.99,0.435096,-0.101015,1.037954,0.16295,44.7034,False,game_total,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,NO,242,36,66.53,-0.033609,-0.07995,0.015828,-0.016073,67.6157,False,inning_result,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,NO,197,34,44.67,0.39868,-0.157418,1.031171,0.139454,39.203,False,inning_total,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,NO,414,36,55.07,-0.018071,-0.202703,0.181013,0.007735,54.6498,False,team_total,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,NO,284,36,69.37,-0.078974,-0.170593,0.019511,-0.075898,75.0634,False,winning_margin,D_LINEUP_CONFIRMED
