entryPoint,side,contracts,independentGames,winRatePct,meanRoi,ci95LowRoi,ci95HighRoi,capitalWeightedRoi,meanEntryCents,feeAdjusted,policy,population
EARLY_12H_PLUS,YES,1546,36,42.82,-0.052567,-0.23411,0.139546,-0.075845,46.3344,False,A_NIGHT_BEFORE,balanced_game_markets
EARLY_12H_PLUS,YES,768,24,36.85,-0.030867,-0.350766,0.312645,0.005686,36.6406,False,A_NIGHT_BEFORE,balanced_player_props
EARLY_12H_PLUS,NO,1546,36,57.18,0.105489,-0.124071,0.334244,0.012009,56.5013,False,A_NIGHT_BEFORE,balanced_game_markets
EARLY_12H_PLUS,NO,768,24,63.15,-0.089907,-0.229121,0.044671,-0.04135,65.875,False,A_NIGHT_BEFORE,balanced_player_props
FIRST_GAME_DAY,YES,1546,36,42.82,-0.020915,-0.211882,0.180573,-0.052323,45.1843,False,B_FIRST_GAME_DAY,balanced_game_markets
FIRST_GAME_DAY,YES,768,24,36.85,0.020941,-0.333534,0.392069,0.030327,35.7643,False,B_FIRST_GAME_DAY,balanced_player_props
FIRST_GAME_DAY,NO,1546,36,57.18,0.116988,-0.113955,0.354161,0.018856,56.1216,False,B_FIRST_GAME_DAY,balanced_game_markets
FIRST_GAME_DAY,NO,768,24,63.15,-0.085088,-0.229367,0.052928,-0.035766,65.4935,False,B_FIRST_GAME_DAY,balanced_player_props
T_MINUS_90,YES,1546,36,42.82,-0.019803,-0.210467,0.180507,-0.04766,44.9631,False,C_T_MINUS_90,balanced_game_markets
T_MINUS_90,YES,768,24,36.85,0.013809,-0.334617,0.380717,0.029503,35.793,False,C_T_MINUS_90,balanced_player_props
T_MINUS_90,NO,1546,36,57.18,0.113938,-0.117071,0.350654,0.017531,56.1947,False,C_T_MINUS_90,balanced_game_markets
T_MINUS_90,NO,768,24,63.15,-0.084548,-0.229769,0.053309,-0.034365,65.3984,False,C_T_MINUS_90,balanced_player_props
LINEUP_CONFIRMATION,YES,1546,36,42.82,-0.020197,-0.21154,0.180063,-0.050283,45.0873,False,D_LINEUP_CONFIRMED,balanced_game_markets
LINEUP_CONFIRMATION,YES,768,24,36.85,0.024333,-0.328793,0.388914,0.031041,35.7396,False,D_LINEUP_CONFIRMED,balanced_player_props
LINEUP_CONFIRMATION,NO,1546,36,57.18,0.116316,-0.114427,0.353463,0.018339,56.1501,False,D_LINEUP_CONFIRMED,balanced_game_markets
LINEUP_CONFIRMATION,NO,768,24,63.15,-0.084941,-0.229914,0.052509,-0.034922,65.4362,False,D_LINEUP_CONFIRMED,balanced_player_props
T_MINUS_30,YES,1546,36,42.82,-0.019709,-0.211332,0.180272,-0.047386,44.9502,False,E_T_MINUS_30,balanced_game_markets
T_MINUS_30,YES,768,24,36.85,0.004337,-0.33759,0.36029,0.028044,35.8438,False,E_T_MINUS_30,balanced_player_props
T_MINUS_30,NO,1546,36,57.18,0.109819,-0.117613,0.341021,0.017765,56.1818,False,E_T_MINUS_30,balanced_game_markets
T_MINUS_30,NO,768,24,63.15,-0.083308,-0.228002,0.053655,-0.032882,65.2982,False,E_T_MINUS_30,balanced_player_props
