entryPoint,side,contracts,independentGames,winRatePct,meanRoi,ci95LowRoi,ci95HighRoi,capitalWeightedRoi,meanEntryCents,feeAdjusted,marketFamily,policy
EARLY_12H_PLUS,YES,2074,215,29.41,-0.080545,-0.226976,0.073406,-0.035939,30.5082,False,hitter_hits,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,3126,209,37.46,-0.060051,-0.162922,0.046032,-0.044097,39.1881,False,hitter_hits_runs_rbis,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,1456,207,20.12,-0.051155,-0.207681,0.121305,-0.079572,21.8633,False,hitter_rbis,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,39,19,5.13,-0.626068,-1.0,-0.131944,-0.568966,11.8974,False,hitter_stolen_bases,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,2956,221,21.41,-0.092942,-0.241719,0.068381,-0.074061,23.1269,False,hitter_total_bases,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,461,255,48.59,-0.081354,-0.163644,-0.001619,-0.079666,52.7961,False,pitcher_outs,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,3510,262,42.99,-0.081376,-0.177429,0.020004,-0.05157,45.3291,False,pitcher_strikeouts,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,2074,215,70.59,-0.015223,-0.059808,0.030709,-0.013125,71.527,False,hitter_hits,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,3126,209,62.54,-0.016423,-0.073176,0.041281,-0.015639,63.5336,False,hitter_hits_runs_rbis,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,1456,207,79.88,-0.018036,-0.053576,0.016361,-0.018963,81.4203,False,hitter_rbis,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,39,19,94.87,0.030143,-0.053494,0.099708,0.024931,92.5641,False,hitter_stolen_bases,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,2956,221,78.59,-0.007167,-0.047465,0.031063,-0.008422,79.2534,False,hitter_total_bases,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,461,255,51.41,-0.010452,-0.095285,0.076715,-0.010438,51.9523,False,pitcher_outs,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,3510,262,57.01,-0.039448,-0.104865,0.026606,-0.006327,57.3715,False,pitcher_strikeouts,A_NIGHT_BEFORE
LINEUP_CONFIRMATION,YES,4123,162,28.96,-0.023344,-0.129578,0.100721,-0.011663,29.3012,False,hitter_hits,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,6083,158,34.47,-0.006827,-0.105415,0.095723,-0.017131,35.074,False,hitter_hits_runs_rbis,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,2473,158,19.09,-0.03823,-0.167841,0.098242,-0.050111,20.093,False,hitter_rbis,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,782,141,7.93,-0.135076,-0.409866,0.160125,-0.203085,9.9488,False,hitter_stolen_bases,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,5494,162,19.59,-0.048125,-0.153495,0.057628,-0.051932,20.6578,False,hitter_total_bases,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,313,173,49.84,-0.027357,-0.134114,0.085824,-0.020716,50.8946,False,pitcher_outs,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,YES,2316,172,43.01,-0.076931,-0.198179,0.053161,-0.034219,44.5289,False,pitcher_strikeouts,D_LINEUP_CONFIRMED
LINEUP_CONFIRMATION,NO,4123,162,71.04,-0.017277,-0.050241,0.015466,-0.014624,72.0948,False,hitter_hits,D_LINEUP_CONFIRMED
