entryPoint,side,contracts,independentGames,winRatePct,meanRoi,ci95LowRoi,ci95HighRoi,capitalWeightedRoi,meanEntryCents,feeAdjusted,researchSubFamily,seriesTickers,policy
EARLY_12H_PLUS,YES,954,325,33.23,-0.0437,-0.07277,-0.013178,-0.042672,34.7096,False,f3_result,KXMLBF3,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,1006,339,33.3,-0.030266,-0.078262,0.023184,-0.029154,34.3002,False,f5_moneyline,KXMLBF5,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,1334,336,30.36,0.220275,0.117621,0.327991,0.20253,25.2466,False,f5_spread,KXMLBF5SPREAD,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,2225,338,48.81,-0.220854,-0.295153,-0.14118,-0.206471,61.5088,False,f5_total,KXMLBF5TOTAL,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,950,322,33.16,-0.132273,-0.184745,-0.076167,-0.041563,34.5958,False,f7_result,KXMLBF7,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,366,366,47.54,-0.037142,-0.13948,0.071665,-0.033118,49.1694,False,first_inning_run_nrfi_yrfi,KXMLBRFI,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,732,366,50.0,-0.016462,-0.034423,0.001247,-0.011158,50.5642,False,full_game_moneyline,KXMLBGAME,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,2076,346,26.54,-0.01179,-0.103091,0.082882,-0.023638,27.184,False,full_game_run_line,KXMLBSPREAD,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,3795,346,47.33,-0.206417,-0.282169,-0.129959,-0.178066,57.5781,False,full_game_total,KXMLBTOTAL,A_NIGHT_BEFORE
EARLY_12H_PLUS,YES,4746,346,43.83,-0.107947,-0.17572,-0.038343,-0.082322,47.7579,False,team_total,KXMLBTEAMTOTAL,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,954,325,66.77,-0.035459,-0.043137,-0.027233,-0.03438,69.1488,False,f3_result,KXMLBF3,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,1006,339,66.7,-0.02105,-0.03164,-0.009696,-0.023347,68.2942,False,f5_moneyline,KXMLBF5,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,1334,336,69.64,-0.100502,-0.131162,-0.06918,-0.099562,77.3403,False,f5_spread,KXMLBF5SPREAD,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,2225,338,51.19,0.411856,0.262802,0.575081,0.23869,41.3267,False,f5_total,KXMLBF5TOTAL,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,950,322,66.84,-0.043182,-0.053721,-0.031995,-0.031333,69.0042,False,f7_result,KXMLBF7,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,366,366,52.46,0.002923,-0.096428,0.101367,0.008192,52.0328,False,first_inning_run_nrfi_yrfi,KXMLBRFI,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,732,366,50.0,-0.015181,-0.033334,0.002541,-0.009794,50.4945,False,full_game_moneyline,KXMLBGAME,A_NIGHT_BEFORE
EARLY_12H_PLUS,NO,2076,346,73.46,-0.00607,-0.034951,0.023194,-0.007717,74.0299,False,full_game_run_line,KXMLBSPREAD,A_NIGHT_BEFORE
