testDate,trainDatesUsed,selectedCells,candidatesSelected,oosMeanRoi,baselineMeanRoi,side
2026-08-07,5,1,23,-0.238068,-0.25386,YES
2026-08-08,6,2,61,-0.268679,-0.262558,YES
2026-08-09,7,2,53,0.108707,0.111851,YES
2026-08-10,8,2,39,0.03094,0.031515,YES
2026-08-11,9,2,58,-0.142939,-0.16371,YES
2026-08-12,10,2,59,0.102133,0.083329,YES
2026-08-13,11,2,31,-0.182573,-0.163541,YES
2026-08-14,12,2,53,-0.042685,-0.05533,YES
2026-08-15,13,1,23,0.368104,0.376726,YES
2026-08-16,14,1,29,0.043859,0.074945,YES
2026-08-18,15,1,30,0.380465,0.362815,YES
2026-08-19,16,2,40,-0.202104,-0.193642,YES
2026-08-20,17,2,26,0.483626,0.473783,YES
2026-08-21,18,3,63,-0.014705,-0.011196,YES
2026-08-22,19,3,64,-0.159468,-0.159066,YES
2026-08-23,20,3,81,0.10925,0.099137,YES
2026-08-24,21,3,55,0.363962,0.371087,YES
2026-08-25,22,3,55,-0.067516,-0.059163,YES
2026-08-26,23,3,80,0.074664,0.067984,YES
2026-08-27,24,3,33,0.218718,0.218718,YES
2026-08-28,25,3,77,0.050419,0.056574,YES
2026-08-29,26,3,78,-0.205777,-0.202985,YES
2026-08-30,27,3,7,0.116661,0.161161,YES
2026-08-31,28,3,70,0.016866,0.02708,YES
2026-08-07,5,12,375,0.226701,0.187005,NO
2026-08-08,6,10,366,0.13234,0.116278,NO
2026-08-09,7,10,298,-0.009321,0.000302,NO
2026-08-10,8,10,208,0.080792,0.057378,NO
2026-08-11,9,10,273,0.286559,0.270213,NO
2026-08-12,10,10,298,0.04727,0.041723,NO
2026-08-13,11,11,169,0.200793,0.183302,NO
2026-08-14,12,12,261,0.198971,0.247626,NO
2026-08-15,13,11,293,0.083929,0.066794,NO
2026-08-16,14,12,369,0.094684,0.040714,NO
2026-08-18,15,12,351,0.355323,0.390527,NO
2026-08-19,16,11,278,0.20227,0.240804,NO
2026-08-20,17,11,221,0.532866,0.479959,NO
2026-08-21,18,12,357,0.123085,0.107735,NO
2026-08-22,19,12,406,0.151896,0.144819,NO
2026-08-23,20,12,452,0.158067,0.184365,NO
2026-08-24,21,12,346,0.096174,0.070419,NO
2026-08-25,22,12,274,0.170826,0.224583,NO
2026-08-26,23,12,411,0.256056,0.258646,NO
2026-08-27,24,13,171,0.424218,0.424218,NO
2026-08-28,25,13,395,0.446725,0.444995,NO
2026-08-29,26,13,373,0.305748,0.316268,NO
2026-08-30,27,14,33,-0.498383,-0.485737,NO
2026-08-31,28,14,385,0.022833,0.029864,NO
2026-08-07,5,4,27,-0.392717,-0.391609,YES
2026-08-08,6,4,127,-0.055987,-0.039702,YES
2026-08-09,7,4,76,-0.122767,-0.088698,YES
2026-08-10,8,3,85,-0.164163,-0.168061,YES
2026-08-11,9,5,126,0.137786,0.19888,YES
2026-08-12,10,2,11,-0.44831,-0.456033,YES
2026-08-13,11,2,27,-0.069162,-0.092884,YES
2026-08-14,12,2,22,-0.007854,-0.075678,YES
2026-08-15,13,2,34,0.280314,0.257601,YES
2026-08-16,14,2,29,0.16514,0.130465,YES
2026-08-18,15,2,43,-0.060909,-0.056184,YES
2026-08-19,16,2,40,0.184167,0.160335,YES
2026-08-20,17,2,24,0.037658,0.000627,YES
2026-08-21,18,2,35,-0.495779,-0.502631,YES
2026-08-22,19,2,21,-0.188625,-0.181817,YES
2026-08-23,20,2,41,-0.070351,-0.064335,YES
2026-08-24,21,1,35,-0.076466,-0.066557,YES
2026-08-25,22,1,6,0.303428,0.263084,YES
2026-08-26,23,1,18,-0.02911,-0.002533,YES
2026-08-27,24,1,13,-0.002408,-0.002408,YES
2026-08-28,25,1,43,-0.097533,-0.097533,YES
2026-08-29,26,1,16,-0.003982,0.005747,YES
2026-08-30,27,1,4,0.16673,0.172,YES
2026-08-31,28,1,22,0.005048,0.035623,YES
2026-08-07,5,3,42,-0.030817,-0.052615,NO
2026-08-08,6,3,75,0.005831,-0.000928,NO
2026-08-09,7,4,48,-0.256726,-0.26137,NO
2026-08-10,8,6,95,-0.113168,-0.112066,NO
2026-08-11,9,7,146,-0.06886,-0.073539,NO
2026-08-12,10,8,141,0.11892,0.108467,NO
2026-08-13,11,7,123,0.082929,0.087235,NO
2026-08-14,12,10,74,-0.061273,-0.066306,NO
2026-08-15,13,9,105,0.055824,0.054018,NO
2026-08-16,14,9,156,0.172262,0.171021,NO
2026-08-18,15,8,244,0.032835,0.035747,NO
2026-08-19,16,6,156,0.079902,0.075152,NO
2026-08-20,17,6,63,-0.006033,-0.000132,NO
2026-08-21,18,6,134,0.009112,0.005233,NO
2026-08-22,19,7,81,-0.048502,-0.065932,NO
2026-08-23,20,7,175,0.023723,0.024514,NO
2026-08-24,21,7,138,-0.031825,-0.033607,NO
2026-08-25,22,8,24,0.056739,0.05661,NO
2026-08-26,23,8,97,-0.072321,-0.085183,NO
2026-08-27,24,9,157,-0.068539,-0.068539,NO
2026-08-28,25,9,430,-0.018528,-0.01962,NO
2026-08-29,26,10,257,-0.005292,-0.021051,NO
2026-08-30,27,12,76,-0.191486,-0.180891,NO
2026-08-31,28,10,443,-0.05714,-0.052493,NO
