
======================================================================
EXECUTION SLIP — 2026-06-19
======================================================================

=== REAL-MONEY BETS (0) ===
  (none)

=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (135) ===
  TOR@CHC | YRFI | Cal Edge: +2.72% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  TOR@CHC | F5_ML_Home | Cal Edge: +3.33% | paper-tier
  TOR@CHC | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  TOR@CHC | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  TOR@CHC | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CWS@DET | YRFI | Cal Edge: +2.54% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  CWS@DET | F5_ML_Away | Cal Edge: -2.57% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  CWS@DET | F5_ML_Home | Cal Edge: +5.11% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  CWS@DET | TT_Away_Over | Cal Edge: -5.65% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  CWS@DET | TT_Home_Over | Cal Edge: -4.02% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  CWS@DET | ML_Away | Cal Edge: -2.34% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  CWS@DET | ML_Home | Cal Edge: +1.90% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  CWS@DET | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  CWS@DET | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CWS@DET | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CIN@NYY | YRFI | Cal Edge: +1.62% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  CIN@NYY | F5_ML_Away | Cal Edge: -0.55% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  CIN@NYY | F5_ML_Home | Cal Edge: +0.55% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  CIN@NYY | TT_Away_Over | Cal Edge: -6.74% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  CIN@NYY | TT_Home_Over | Cal Edge: -5.85% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  CIN@NYY | ML_Away | Cal Edge: -1.61% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER
  CIN@NYY | ML_Home | Cal Edge: +0.12% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER
  CIN@NYY | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  CIN@NYY | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CIN@NYY | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  WSH@TB | YRFI | Cal Edge: +3.18% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  WSH@TB | F5_ML_Away | Cal Edge: +4.40% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  WSH@TB | F5_ML_Home | Cal Edge: -4.40% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  WSH@TB | TT_Away_Over | Cal Edge: +0.60% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  WSH@TB | TT_Home_Over | Cal Edge: -7.01% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  WSH@TB | ML_Away | Cal Edge: +5.73% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  WSH@TB | ML_Home | Cal Edge: -5.73% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  WSH@TB | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  WSH@TB | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  WSH@TB | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SF@MIA | YRFI | Cal Edge: +2.14% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  SF@MIA | F5_ML_Away | Cal Edge: -2.79% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  SF@MIA | TT_Away_Over | Cal Edge: -4.56% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  SF@MIA | TT_Home_Over | Cal Edge: -7.17% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  SF@MIA | ML_Away | Cal Edge: +2.20% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  SF@MIA | ML_Home | Cal Edge: -2.50% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  SF@MIA | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  SF@MIA | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SF@MIA | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@ATL | YRFI | Cal Edge: +2.39% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  MIL@ATL | F5_ML_Away | Cal Edge: +4.36% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  MIL@ATL | F5_ML_Home | Cal Edge: -1.76% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  MIL@ATL | TT_Away_Over | Cal Edge: -4.70% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  MIL@ATL | TT_Home_Over | Cal Edge: -6.49% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  MIL@ATL | ML_Away | Cal Edge: +2.62% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  MIL@ATL | ML_Home | Cal Edge: -2.62% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  MIL@ATL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  MIL@ATL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@ATL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SD@TEX | YRFI | Cal Edge: +2.29% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  SD@TEX | F5_ML_Away | Cal Edge: +3.34% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  SD@TEX | F5_ML_Home | Cal Edge: -1.70% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  SD@TEX | TT_Away_Over | Cal Edge: -2.49% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  SD@TEX | TT_Home_Over | Cal Edge: -5.07% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  SD@TEX | ML_Away | Cal Edge: +1.43% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER
  SD@TEX | ML_Home | Cal Edge: -1.43% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER
  SD@TEX | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  SD@TEX | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SD@TEX | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CLE@HOU | YRFI | Cal Edge: +3.03% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  CLE@HOU | F5_ML_Away | Cal Edge: -5.80% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  CLE@HOU | F5_ML_Home | Cal Edge: +5.80% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  CLE@HOU | TT_Away_Over | Cal Edge: -3.13% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  CLE@HOU | TT_Home_Over | Cal Edge: -3.97% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  CLE@HOU | ML_Away | Cal Edge: +0.51% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER
  CLE@HOU | ML_Home | Cal Edge: -0.51% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER
  CLE@HOU | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  CLE@HOU | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CLE@HOU | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  STL@KC | YRFI | Cal Edge: +2.37% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  STL@KC | F5_ML_Away | Cal Edge: -3.32% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  STL@KC | F5_ML_Home | Cal Edge: +3.32% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  STL@KC | TT_Away_Over | Cal Edge: -6.94% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  STL@KC | TT_Home_Over | Cal Edge: -3.29% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  STL@KC | ML_Away | Cal Edge: -2.61% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  STL@KC | ML_Home | Cal Edge: +2.61% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER; Ru
  STL@KC | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  STL@KC | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  STL@KC | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  PIT@COL | YRFI | Cal Edge: +2.17% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  PIT@COL | F5_ML_Away | Cal Edge: -0.19% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  PIT@COL | F5_ML_Home | Cal Edge: +0.19% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  PIT@COL | TT_Away_Over | Cal Edge: -7.23% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  PIT@COL | TT_Home_Over | Cal Edge: -5.93% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  PIT@COL | ML_Away | Cal Edge: -0.12% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER
  PIT@COL | ML_Home | Cal Edge: +0.12% | Rule 51: lineupConfirmedOfficial=False (away, home) — ML downgraded to PAPER
  PIT@COL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  PIT@COL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  PIT@COL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  LAA@ATH | YRFI | Cal Edge: +1.91% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away, home unconf
  LAA@ATH | F5_ML_Away | Cal Edge: +4.21% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  LAA@ATH | F5_ML_Home | Cal Edge: -4.21% | Rule 53: F5 requires confirmed lineups for both teams — away, home unconfirmed (
  LAA@ATH | TT_Away_Over | Cal Edge: -2.50% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
