
======================================================================
EXECUTION SLIP — 2026-07-03
======================================================================

=== REAL-MONEY BETS (0) ===
  (none)

=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (21) ===
  BOS@LAA | YRFI | Cal Edge: +1.90% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  BOS@LAA | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  BOS@LAA | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  BOS@LAA | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIA@ATH | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  MIA@ATH | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIA@ATH | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@AZ | YRFI | Cal Edge: +1.93% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  MIL@AZ | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  MIL@AZ | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@AZ | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SD@LAD | YRFI | Cal Edge: +2.79% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  SD@LAD | F5_ML_Home | Cal Edge: +4.24% | paper-tier
  SD@LAD | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  SD@LAD | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SD@LAD | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  TOR@SEA | YRFI | Cal Edge: +1.75% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  TOR@SEA | F5_ML_Away | Cal Edge: +3.83% | paper-tier
  TOR@SEA | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  TOR@SEA | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  TOR@SEA | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0

=== REJECTED / BLOCKED (122) ===
  STL@CHC | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  STL@CHC | RL_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: STL@CHC status='Final' — pregame-only mode cannot recommend real-money be
  PIT@WSH | NRFI | Raw Edge: — | LIVE_GAME_BLOCKED: PIT@WSH status='In Progress' — pregame-only mode cannot recommend real-money bets
  PIT@WSH | YRFI | Raw Edge: — | LIVE_GAME_BLOCKED: PIT@WSH status='In Progress' — pregame-only mode cannot recommend real-money bets
  PIT@WSH | F5_ML_Away | Raw Edge: — | LIVE_GAME_BLOCKED: PIT@WSH status='In Progress' — pregame-only mode cannot recommend real-money bets
  PIT@WSH | F5_ML_Home | Raw Edge: — | LIVE_GAME_BLOCKED: PIT@WSH status='In Progress' — pregame-only mode cannot recommend real-money bets
  PIT@WSH | TT_Away_Over | Raw Edge: — | LIVE_GAME_BLOCKED: PIT@WSH status='In Progress' — pregame-only mode cannot recommend real-money bets
  PIT@WSH | TT_Home_Over | Raw Edge: — | LIVE_GAME_BLOCKED: PIT@WSH status='In Progress' — pregame-only mode cannot recommend real-money bets
  PIT@WSH | ML_Away | Raw Edge: — | LIVE_GAME_BLOCKED: PIT@WSH status='In Progress' — pregame-only mode cannot recommend real-money bets
  PIT@WSH | ML_Home | Raw Edge: — | LIVE_GAME_BLOCKED: PIT@WSH status='In Progress' — pregame-only mode cannot recommend real-money bets
