
======================================================================
EXECUTION SLIP — 2026-07-07
======================================================================

=== REAL-MONEY BETS (1) ===
  NYY@TB | ML_Away | ML_Away
    Ticker:    KXMLBGAME-26JUL071840NYYTB-NYY
    Model%:    51.8% | Exec Price: 45.45¢ | Raw Edge: +6.35% | Cal Edge: +1.62%
    Tier:      MEDIUM | Stake: $3.0
    MaxBet:    45.45¢ or better
    Codes:     MARKET_REAL_MONEY_ELIGIBLE, EXECUTABLE_EDGE_ABOVE_THRESHOLD, RAW_EDGE_STRONG, LINEUP_CONFIRMED_OFFICIAL, LINEUP_ADJ_APPLIED
    Snapshot:  unknown


=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (76) ===
  MIL@STL | ML_Home | Cal Edge: +0.90% | paper-tier
  MIL@STL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  MIL@STL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@STL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CHC@BAL | YRFI | Cal Edge: +2.50% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  CHC@BAL | ML_Away | Cal Edge: +1.25% | paper-tier
  CHC@BAL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  CHC@BAL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CHC@BAL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATH@DET | YRFI | Cal Edge: +2.85% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  ATH@DET | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  ATH@DET | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATH@DET | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATL@PIT | YRFI | Cal Edge: +3.79% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  ATL@PIT | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  ATL@PIT | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATL@PIT | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SEA@MIA | YRFI | Cal Edge: +2.14% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  SEA@MIA | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  SEA@MIA | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SEA@MIA | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  NYY@TB | YRFI | Cal Edge: +1.79% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  NYY@TB | F5_ML_Away | Cal Edge: +3.33% | paper-tier
  NYY@TB | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  NYY@TB | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  NYY@TB | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  HOU@WSH | YRFI | Cal Edge: +3.06% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  HOU@WSH | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  HOU@WSH | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  HOU@WSH | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  KC@NYM | YRFI | Cal Edge: +2.16% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  KC@NYM | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  KC@NYM | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  KC@NYM | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  PHI@CIN | YRFI | Cal Edge: +2.31% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  PHI@CIN | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  PHI@CIN | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  PHI@CIN | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CLE@MIN | YRFI | Cal Edge: +2.70% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  CLE@MIN | ML_Home | Cal Edge: +1.49% | paper-tier
  CLE@MIN | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  CLE@MIN | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CLE@MIN | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  BOS@CWS | YRFI | Cal Edge: +2.91% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
