
======================================================================
EXECUTION SLIP — 2026-07-08
======================================================================

=== REAL-MONEY BETS (1) ===
  COL@LAD | TT_Away_Over | TT_Away_Over
    Ticker:    KXMLBTEAMTOTAL-26JUL082210COLLAD-COL4
    Model%:    65.33% | Exec Price: 55.0¢ | Raw Edge: +10.33% | Cal Edge: +2.63%
    Tier:      MEDIUM | Stake: $4.0
    MaxBet:    55.0¢ or better
    Codes:     MARKET_REAL_MONEY_ELIGIBLE, EXECUTABLE_EDGE_ABOVE_THRESHOLD, RAW_EDGE_STRONG, LINEUP_CONFIRMED_OFFICIAL, LINEUP_ADJ_APPLIED
    Snapshot:  unknown


=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (62) ===
  CHC@BAL | YRFI | Cal Edge: +3.66% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  CHC@BAL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  CHC@BAL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CHC@BAL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATH@DET | YRFI | Cal Edge: +3.43% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  ATH@DET | F5_ML_Home | Cal Edge: +3.68% | paper-tier
  ATH@DET | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  ATH@DET | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATH@DET | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATL@PIT | YRFI | Cal Edge: +3.81% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  ATL@PIT | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  ATL@PIT | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATL@PIT | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SEA@MIA | YRFI | Cal Edge: +2.62% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  SEA@MIA | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  SEA@MIA | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  SEA@MIA | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  NYY@TB | YRFI | Cal Edge: +2.50% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  NYY@TB | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  NYY@TB | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  NYY@TB | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  HOU@WSH | YRFI | Cal Edge: +3.10% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  HOU@WSH | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  HOU@WSH | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  HOU@WSH | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  KC@NYM | YRFI | Cal Edge: +3.23% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  KC@NYM | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  KC@NYM | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  KC@NYM | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  PHI@CIN | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  PHI@CIN | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  PHI@CIN | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CLE@MIN | YRFI | Cal Edge: +2.58% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  CLE@MIN | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  CLE@MIN | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CLE@MIN | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  BOS@CWS | YRFI | Cal Edge: +1.83% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  BOS@CWS | ML_Away | Cal Edge: +1.14% | paper-tier
  BOS@CWS | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  BOS@CWS | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  BOS@CWS | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@STL | YRFI | Cal Edge: +2.58% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  MIL@STL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  MIL@STL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@STL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  LAA@TEX | YRFI | Cal Edge: +2.02% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  LAA@TEX | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  LAA@TEX | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  LAA@TEX | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  COL@LAD | YRFI | Cal Edge: +2.54% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  COL@LAD | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  COL@LAD | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  COL@LAD | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@SD | YRFI | Cal Edge: +2.69% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — home unconfirmed 
  AZ@SD | F5_ML_Away | Cal Edge: -0.64% | Rule 53: F5 requires confirmed lineups for both teams — home unconfirmed (lineup
  AZ@SD | F5_ML_Home | Cal Edge: +0.64% | Rule 53: F5 requires confirmed lineups for both teams — home unconfirmed (lineup
  AZ@SD | TT_Home_Over | Cal Edge: -3.39% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  AZ@SD | ML_Away | Cal Edge: -0.80% | Rule 51: lineupConfirmedOfficial=False (home) — ML downgraded to PAPER
  AZ@SD | ML_Home | Cal Edge: +0.80% | Rule 51: lineupConfirmedOfficial=False (home) — ML downgraded to PAPER
  AZ@SD | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  AZ@SD | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@SD | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0

=== REJECTED / BLOCKED (102) ===
  TOR@SF | NRFI | Raw Edge: — | LIVE_GAME_BLOCKED: TOR@SF status='In Progress' — pregame-only mode cannot recommend real-money bets 
