
======================================================================
EXECUTION SLIP — 2026-07-11
======================================================================

=== REAL-MONEY BETS (0) ===
  (none)

=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (33) ===
  PHI@DET | YRFI | Cal Edge: +1.73% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  PHI@DET | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  PHI@DET | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  PHI@DET | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  KC@BAL | YRFI | Cal Edge: +2.46% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  KC@BAL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  KC@BAL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  KC@BAL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  HOU@TEX | YRFI | Cal Edge: +2.72% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  HOU@TEX | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  HOU@TEX | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  HOU@TEX | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CHC@CIN | YRFI | Cal Edge: +2.86% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  CHC@CIN | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  CHC@CIN | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  CHC@CIN | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATL@STL | YRFI | Cal Edge: +3.60% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  ATL@STL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  ATL@STL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  ATL@STL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  TOR@SD | YRFI | Cal Edge: +2.40% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away unconfirmed 
  TOR@SD | F5_ML_Away | Cal Edge: -0.15% | Rule 53: F5 requires confirmed lineups for both teams — away unconfirmed (lineup
  TOR@SD | F5_ML_Home | Cal Edge: +0.15% | Rule 53: F5 requires confirmed lineups for both teams — away unconfirmed (lineup
  TOR@SD | TT_Away_Over | Cal Edge: -4.98% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  TOR@SD | ML_Away | Cal Edge: +0.72% | Rule 51: lineupConfirmedOfficial=False (away) — ML downgraded to PAPER
  TOR@SD | ML_Home | Cal Edge: -0.72% | Rule 51: lineupConfirmedOfficial=False (away) — ML downgraded to PAPER
  TOR@SD | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  TOR@SD | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  TOR@SD | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@LAD | YRFI | Cal Edge: +2.08% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  AZ@LAD | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  AZ@LAD | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@LAD | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0

