
======================================================================
EXECUTION SLIP — 2026-08-26
======================================================================

=== REAL-MONEY BETS (0) ===
  (none)

=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (0) ===
  (none)

=== REJECTED / BLOCKED (165) ===
  TB@DET | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  TB@DET | RL_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: TB@DET status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CHC@AZ | RL_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CHC@AZ status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CIN@SF | RL_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CIN@SF status='Final' — pregame-only mode cannot recommend real-money bet
  CLE@LAA | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  CLE@LAA | RL_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CLE@LAA status='Final' — pregame-only mode cannot recommend real-money be
  PIT@SD | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PIT@SD | RL_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PIT@SD status='Final' — pregame-only mode cannot recommend real-money bet
  PHI@SEA | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@SEA status='Final' — pregame-only mode cannot recommend real-money be
  PHI@SEA | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@SEA status='Final' — pregame-only mode cannot recommend real-money be
  PHI@SEA | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@SEA status='Final' — pregame-only mode cannot recommend real-money be
