
======================================================================
EXECUTION SLIP — 2026-08-29
======================================================================

=== REAL-MONEY BETS (0) ===
  (none)

=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (22) ===
  BOS@NYY | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  BOS@NYY | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  BOS@NYY | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@SF | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  AZ@SF | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  TEX@MIL | YRFI | Cal Edge: +2.61% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  TEX@MIL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  TEX@MIL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  TEX@MIL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  BAL@ATH | YRFI | Cal Edge: +2.22% | Rule 40 incomplete — first-inning xERA missing for: ['away.pitcherSavant.firstIn
  BAL@ATH | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  BAL@ATH | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  BAL@ATH | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  PHI@LAA | YRFI | Cal Edge: +3.01% | Rule 52: YRFI/NRFI requires confirmed lineups for both teams — away unconfirmed 
  PHI@LAA | F5_ML_Away | Cal Edge: +2.58% | Rule 53: F5 requires confirmed lineups for both teams — away unconfirmed (lineup
  PHI@LAA | F5_ML_Home | Cal Edge: -2.61% | Rule 53: F5 requires confirmed lineups for both teams — away unconfirmed (lineup
  PHI@LAA | TT_Away_Over | Cal Edge: +2.06% | Rule 50: lineupConfirmedOfficial=False → TT Paper only
  PHI@LAA | ML_Away | Cal Edge: +0.91% | Rule 51: lineupConfirmedOfficial=False (away) — ML downgraded to PAPER
  PHI@LAA | ML_Home | Cal Edge: -3.56% | Rule 51: lineupConfirmedOfficial=False (away) — ML downgraded to PAPER; Rule71: 
  PHI@LAA | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  PHI@LAA | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  PHI@LAA | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0

=== REJECTED / BLOCKED (150) ===
  BOS@NYY | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | RL_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: BOS@NYY status='Final' — pregame-only mode cannot recommend real-money be
  BOS@NYY | ML_Away | Raw Edge: -4.22% | edge -1.516% below 1.0% floor
  BOS@NYY | ML_Home | Raw Edge: +3.09% | edge 0.351% below 1.0% floor
  LAD@DET | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  LAD@DET | RL_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: LAD@DET status='Final' — pregame-only mode cannot recommend real-money be
  CWS@MIN | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CWS@MIN status='Final' — pregame-only mode cannot recommend real-money be
  CWS@MIN | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CWS@MIN status='Final' — pregame-only mode cannot recommend real-money be
  CWS@MIN | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CWS@MIN status='Final' — pregame-only mode cannot recommend real-money be
  CWS@MIN | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CWS@MIN status='Final' — pregame-only mode cannot recommend real-money be
  CWS@MIN | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CWS@MIN status='Final' — pregame-only mode cannot recommend real-money be
  CWS@MIN | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CWS@MIN status='Final' — pregame-only mode cannot recommend real-money be
  CWS@MIN | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CWS@MIN status='Final' — pregame-only mode cannot recommend real-money be
  CWS@MIN | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: CWS@MIN status='Final' — pregame-only mode cannot recommend real-money be
