
======================================================================
EXECUTION SLIP — 2026-09-20
======================================================================

=== REAL-MONEY BETS (0) ===
  (none)

=== PRICE-MOVED PASSES (0) ===
  (none)

=== PAPER-ONLY (9) ===
  NYY@AZ | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  NYY@AZ | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  NYY@AZ | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@BAL | NRFI | Cal Edge: -3.72% | MLB-RSCH-0032 market suspension: KXMLBRFI paper only. Model Brier 0.2577 vs Kals
  MIL@BAL | YRFI | Cal Edge: +3.47% | MLB-RSCH-0032 market suspension: KXMLBRFI paper only. Model Brier 0.2577 vs Kals
  MIL@BAL | ML_Away | Cal Edge: +1.53% | paper-tier
  MIL@BAL | Game_Total | Cal Edge: — | Rule 71 market suspension: Game Total WR 41%, CLV -1.43%. Paper only until WR>=5
  MIL@BAL | RL_Away | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0
  MIL@BAL | RL_Home | Cal Edge: — | Rule 81: RL suspended — WR 36%, CLV -4.09%. Paper until WR>=48% N>=20 AND CLV>=0

=== REJECTED / BLOCKED (152) ===
  PHI@NYM | NRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
  PHI@NYM | YRFI | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
  PHI@NYM | F5_ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
  PHI@NYM | F5_ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
  PHI@NYM | TT_Away_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
  PHI@NYM | TT_Home_Over | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
  PHI@NYM | ML_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
  PHI@NYM | ML_Home | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
  PHI@NYM | Game_Total | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
  PHI@NYM | RL_Away | Raw Edge: — | PREGAME_ONLY_STARTED_GAME: PHI@NYM status='Final' — pregame-only mode cannot recommend real-money be
