date,game,away,home,startTime,eventTicker,marketTicker,marketTitle,mappedOutcome,yesBid,yesAsk,noBid,noAsk,midPrice,lastPrice,kalshiVF,executablePriceUsed,modelProb,rawEdgeVsVF,rawEdgeVsExecutable,calibratedEdgeVsExecutable,maxBetPrice,priceSnapshotTimestamp,mappingConfidence,eligibilityStatus,reasonCodes
2026-09-17,ATH@TB,ATH,TB,1:10 PM ET,KXMLBF5-26SEP171310ATHTB,KXMLBF5-26SEP171310ATHTB-ATH,F5 AWAY wins — ATH@TB,away,23.0,24.0,76.0,77.0,23.5,25.0,23.5,24.0,22.91,-0.59,-1.09,-0.278,24.0,2026-09-17T15:49:27Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-17,ATH@TB,ATH,TB,1:10 PM ET,KXMLBF5-26SEP171310ATHTB,KXMLBF5-26SEP171310ATHTB-TB,F5 HOME wins — ATH@TB,home,61.0,62.0,38.0,39.0,61.5,62.0,61.5,62.0,57.84,-3.66,-4.16,-1.061,62.0,2026-09-17T15:49:27Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-17,ATH@TB,ATH,TB,1:10 PM ET,KXMLBF5-26SEP171310ATHTB,KXMLBF5-26SEP171310ATHTB-TIE,F5 TIE wins — ATH@TB,tie,15.0,16.0,84.0,85.0,15.5,17.0,15.5,16.0,,,,,16.0,2026-09-17T15:49:27Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-17,BOS@TEX,BOS,TEX,8:05 PM ET,KXMLBF5-26SEP172005BOSTEX,KXMLBF5-26SEP172005BOSTEX-BOS,F5 AWAY wins — BOS@TEX,away,46.0,47.0,53.0,54.0,46.5,47.0,46.5,47.0,30.13,-16.37,-16.87,-4.302,47.0,2026-09-17T15:49:27Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-17,BOS@TEX,BOS,TEX,8:05 PM ET,KXMLBF5-26SEP172005BOSTEX,KXMLBF5-26SEP172005BOSTEX-TEX,F5 HOME wins — BOS@TEX,home,37.0,39.0,61.0,63.0,38.0,39.0,38.0,39.0,47.52,9.52,8.52,2.173,39.0,2026-09-17T15:49:27Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-17,BOS@TEX,BOS,TEX,8:05 PM ET,KXMLBF5-26SEP172005BOSTEX,KXMLBF5-26SEP172005BOSTEX-TIE,F5 TIE wins — BOS@TEX,tie,15.0,17.0,83.0,85.0,16.0,16.0,16.0,17.0,,,,,17.0,2026-09-17T15:49:27Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-17,DET@CWS,DET,CWS,7:40 PM ET,KXMLBF5-26SEP171940DETCWS,KXMLBF5-26SEP171940DETCWS-DET,F5 AWAY wins — DET@CWS,away,41.0,42.0,58.0,59.0,41.5,42.0,41.5,42.0,60.03,18.53,18.03,4.598,42.0,2026-09-17T15:49:27Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-17,DET@CWS,DET,CWS,7:40 PM ET,KXMLBF5-26SEP171940DETCWS,KXMLBF5-26SEP171940DETCWS-CWS,F5 HOME wins — DET@CWS,home,41.0,42.0,58.0,59.0,41.5,42.0,41.5,42.0,23.77,-17.73,-18.23,-4.649,42.0,2026-09-17T15:49:27Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-17,DET@CWS,DET,CWS,7:40 PM ET,KXMLBF5-26SEP171940DETCWS,KXMLBF5-26SEP171940DETCWS-TIE,F5 TIE wins — DET@CWS,tie,15.0,16.0,84.0,85.0,15.5,17.0,15.5,16.0,,,,,16.0,2026-09-17T15:49:27Z,high,TIE_PRESENT,F5_MARKET_MAPPED_CONFIDENTLY
2026-09-17,KC@HOU,KC,HOU,7:15 PM ET,KXMLBF5-26SEP171915KCHOU,KXMLBF5-26SEP171915KCHOU-KC,F5 AWAY wins — KC@HOU,away,37.0,38.0,62.0,63.0,37.5,38.0,37.5,38.0,,,,,38.0,2026-09-17T15:49:27Z,high,ELIGIBLE,F5_MARKET_MAPPED_CONFIDENTLY
